ICD10CM:A01    ['MESH:D014435']
ICD10CM:Q87    ['MESH:C567416', 'MESH:C536079', 'MESH:C537734', 'MESH:D009958', 'MESH:D010855', 'MESH:D058497', 'MESH:C536940', 'MESH:D012415', 'MESH:C535326', 'MESH:C536534', 'MESH:D009261', 'MESH:D058495', 'MESH:D001506', 'MESH:C536399', 'MESH:D056730', 'MESH:D009634', 'MESH:D011218', 'MESH:D003635', 'MESH:C535331', 'MESH:D003057', 'MESH:D008382', 'MESH:D020788']
ICD10CM:Q89    ['MESH:D012857']
ICD10CM:Q90    ['MESH:D004314']
ICD10CM:Q93    ['MESH:D054877', 'MESH:D054221', 'MESH:D058496', 'MESH:D017204', 'MESH:D003410', 'MESH:D004062']
ICD10CM:Q96    ['MESH:D014424']
ICD10CM:Q99    ['MESH:D005600']
ICD10CM:R21    ['MESH:D005076']
ICD10CM:R41    ['MESH:D000647', 'MESH:D000648']
ICD10CM:R48    ['MESH:D001072']
ICD10CM:R73    ['MESH:D018149', 'MESH:D006943']
ICD10CM:R80    ['MESH:D011507']
ICD10CM:T78    ['MESH:D006967', 'MESH:D000799']
ICD10CM:T79    ['MESH:D003161']
ICD10CM:T88    ['MESH:D008305']
ICD10CM:00.    ['MESH:D000757']
